,label,score
0,POS,0.9927011728286743
1,POS,0.9919242262840271
2,POS,0.9927257299423218
3,POS,0.9890329837799072
4,POS,0.7843035459518433
5,POS,0.986485481262207
6,NEG,0.6290946006774902
7,POS,0.7752710580825806
8,POS,0.9668444991111755
9,POS,0.6354987025260925
10,POS,0.9905390739440918
11,POS,0.9758899807929993
12,POS,0.9925766587257385
13,POS,0.9855771660804749
14,POS,0.9383999705314636
15,POS,0.992983341217041
16,POS,0.9916742444038391
17,POS,0.9926712512969971
18,POS,0.9898179173469543
19,POS,0.9892352223396301
20,POS,0.9928370118141174
21,POS,0.9910820722579956
22,POS,0.9923502802848816
23,POS,0.9927709698677063
24,POS,0.9925475716590881
25,POS,0.9849036931991577
26,POS,0.992033064365387
27,POS,0.9917282462120056
28,POS,0.9789013266563416
29,POS,0.9888773560523987
30,POS,0.9845877885818481
31,POS,0.9904578924179077
32,POS,0.9776732921600342
33,POS,0.9915483593940735
34,POS,0.9916936755180359
35,NEG,0.9764858484268188
36,POS,0.9364929795265198
37,NEG,0.9641849994659424
38,POS,0.9851773977279663
39,POS,0.9657908082008362
40,NEG,0.9817749261856079
41,POS,0.9921854138374329
42,POS,0.9903428554534912
43,POS,0.8451935052871704
44,POS,0.9792861342430115
45,POS,0.9812361001968384
46,POS,0.9863618612289429
47,POS,0.9908894896507263
48,POS,0.9853744506835938
49,POS,0.9910839796066284
50,NEG,0.970518171787262
51,NEG,0.9704049229621887
52,NEG,0.9781894087791443
53,NEG,0.9832984805107117
54,NEG,0.9747126698493958
55,NEG,0.9816576242446899
56,NEU,0.6284710168838501
57,NEG,0.5069263577461243
58,NEG,0.9734262824058533
59,POS,0.9804092645645142
60,NEG,0.9491961002349854
61,NEG,0.9826441407203674
62,NEG,0.9610397815704346
63,NEG,0.7882466912269592
64,NEG,0.9826416373252869
65,NEG,0.9761862754821777
66,NEG,0.9543479681015015
67,NEG,0.9696458578109741
68,NEU,0.7563562393188477
69,NEG,0.9768194556236267
70,NEG,0.962509274482727
71,POS,0.9395378232002258
72,NEG,0.9641823172569275
73,POS,0.6541458368301392
74,NEG,0.9820824861526489
75,NEU,0.42532995343208313
76,NEG,0.9814801812171936
77,POS,0.9580444097518921
78,POS,0.8957781195640564
79,NEG,0.5427873134613037
80,NEG,0.9801586866378784
81,NEG,0.9786369800567627
82,NEG,0.9472220540046692
83,NEG,0.980356752872467
84,NEG,0.982666015625
85,NEU,0.5346788167953491
86,NEG,0.9572814702987671
87,NEG,0.9660586714744568
88,POS,0.6627430319786072
89,POS,0.9674153923988342
90,NEG,0.983135461807251
91,NEG,0.9592453241348267
92,POS,0.9916542768478394
93,POS,0.990879237651825
94,POS,0.9911264777183533
95,NEG,0.9823241233825684
96,NEG,0.9784412384033203
97,NEG,0.9812180995941162
98,POS,0.9666975736618042
99,NEG,0.9781859517097473
100,NEG,0.6190876364707947
101,NEG,0.9814295172691345
102,NEG,0.9807208776473999
103,POS,0.8746854662895203
104,NEG,0.9666454195976257
105,NEU,0.47956058382987976
106,NEG,0.9598785638809204
107,POS,0.7640840411186218
108,NEG,0.9389668703079224
109,NEG,0.9574991464614868
110,POS,0.9874489307403564
111,POS,0.6223828196525574
112,POS,0.9903498888015747
113,POS,0.9916268587112427
114,POS,0.6328916549682617
115,POS,0.9869102835655212
116,NEG,0.7977747321128845
117,NEG,0.9817459583282471
118,NEG,0.9434385299682617
119,NEG,0.7619840502738953
120,NEG,0.7872926592826843
121,NEG,0.9827063083648682
122,NEG,0.8277434706687927
123,NEG,0.9835324287414551
124,POS,0.9820610284805298
125,POS,0.9442514181137085
126,POS,0.8243131041526794
127,NEG,0.978609561920166
128,NEG,0.9787651896476746
129,NEG,0.9815550446510315
130,NEG,0.9814074635505676
131,NEG,0.9675922989845276
132,NEG,0.5757666230201721
133,NEG,0.8635072112083435
134,NEU,0.4733661711215973
135,POS,0.9860301613807678
136,NEG,0.9604710340499878
